Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762470683,2025-11-06T23:11:23Z,SIA915,"14.515812,121.016205",0,0,45
1762470747,2025-11-06T23:12:27Z,SIA915,"14.515605,121.016022",0,3,47
1762470770,2025-11-06T23:12:50Z,SIA915,"14.515411,121.015816",0,3,56
1762470792,2025-11-06T23:13:12Z,SIA915,"14.515205,121.01561",0,2,84
1762470815,2025-11-06T23:13:35Z,SIA915,"14.515104,121.015404",0,0,123
1762470858,2025-11-06T23:14:18Z,SIA915,"14.515244,121.015198",0,0,140
1762470991,2025-11-06T23:16:31Z,SIA915,"14.515058,121.015404",0,4,137
1762471003,2025-11-06T23:16:43Z,SIA915,"14.514851,121.01561",0,6,135
1762471012,2025-11-06T23:16:52Z,SIA915,"14.514673,121.015816",0,7,135
1762471021,2025-11-06T23:17:01Z,SIA915,"14.514462,121.016029",0,7,135
1762471031,2025-11-06T23:17:11Z,SIA915,"14.514243,121.016258",0,7,135
1762471039,2025-11-06T23:17:19Z,SIA915,"14.514004,121.016502",0,8,137
1762471048,2025-11-06T23:17:28Z,SIA915,"14.513801,121.016708",0,8,137
1762471057,2025-11-06T23:17:37Z,SIA915,"14.513579,121.016945",0,8,137
1762471065,2025-11-06T23:17:45Z,SIA915,"14.513363,121.017166",0,8,135
1762471073,2025-11-06T23:17:53Z,SIA915,"14.513161,121.01738",0,7,137
1762471084,2025-11-06T23:18:04Z,SIA915,"14.512894,121.017647",0,7,137
1762471093,2025-11-06T23:18:13Z,SIA915,"14.512707,121.017853",0,7,137
1762471101,2025-11-06T23:18:21Z,SIA915,"14.512486,121.018066",0,8,135
1762471108,2025-11-06T23:18:28Z,SIA915,"14.512287,121.018288",0,8,137
1762471117,2025-11-06T23:18:37Z,SIA915,"14.512047,121.018524",0,8,137
1762471130,2025-11-06T23:18:50Z,SIA915,"14.511715,121.018867",0,8,137
1762471138,2025-11-06T23:18:58Z,SIA915,"14.511497,121.019089",0,8,137
1762471148,2025-11-06T23:19:08Z,SIA915,"14.511303,121.019295",0,5,135
1762471170,2025-11-06T23:19:30Z,SIA915,"14.511101,121.019501",0,0,137
1762471548,2025-11-06T23:25:48Z,SIA915,"14.510902,121.019722",0,0,135
1762471559,2025-11-06T23:25:59Z,SIA915,"14.510624,121.019936",0,8,146
1762471567,2025-11-06T23:26:07Z,SIA915,"14.510403,121.019798",0,8,199
1762471574,2025-11-06T23:26:14Z,SIA915,"14.510273,121.019577",0,7,227
1762471581,2025-11-06T23:26:21Z,SIA915,"14.510135,121.019356",0,8,236
1762471588,2025-11-06T23:26:28Z,SIA915,"14.510021,121.01915",0,8,239
1762471594,2025-11-06T23:26:34Z,SIA915,"14.509891,121.018913",0,9,241
1762471600,2025-11-06T23:26:40Z,SIA915,"14.509758,121.018677",0,10,241
1762471606,2025-11-06T23:26:46Z,SIA915,"14.5096,121.018402",0,11,241
1762471614,2025-11-06T23:26:54Z,SIA915,"14.509392,121.018028",0,12,241
1762471622,2025-11-06T23:27:02Z,SIA915,"14.509192,121.01767",0,13,241
1762471628,2025-11-06T23:27:08Z,SIA915,"14.508994,121.017311",0,13,241
1762471635,2025-11-06T23:27:15Z,SIA915,"14.50875,121.016876",0,14,241
1762471642,2025-11-06T23:27:22Z,SIA915,"14.50854,121.016502",0,15,241
1762471650,2025-11-06T23:27:30Z,SIA915,"14.508272,121.016022",0,15,241
1762471657,2025-11-06T23:27:37Z,SIA915,"14.507984,121.015495",0,16,241
1762471665,2025-11-06T23:27:45Z,SIA915,"14.507714,121.015007",0,16,241
1762471672,2025-11-06T23:27:52Z,SIA915,"14.507388,121.014427",0,17,241
1762471679,2025-11-06T23:27:59Z,SIA915,"14.507097,121.013901",0,18,241
1762471686,2025-11-06T23:28:06Z,SIA915,"14.506829,121.01342",0,19,241
1762471693,2025-11-06T23:28:13Z,SIA915,"14.506446,121.012718",0,21,241
1762471700,2025-11-06T23:28:20Z,SIA915,"14.506084,121.012085",0,22,241
1762471708,2025-11-06T23:28:28Z,SIA915,"14.505684,121.011353",0,24,241
1762471715,2025-11-06T23:28:35Z,SIA915,"14.505281,121.01062",0,25,241
1762471723,2025-11-06T23:28:43Z,SIA915,"14.50486,121.009872",0,22,241
1762471729,2025-11-06T23:28:49Z,SIA915,"14.504525,121.00927",0,21,241
1762471737,2025-11-06T23:28:57Z,SIA915,"14.504139,121.008568",0,21,241
1762471743,2025-11-06T23:29:03Z,SIA915,"14.503803,121.00798",0,22,241
1762471751,2025-11-06T23:29:11Z,SIA915,"14.503407,121.007256",0,23,241
1762471757,2025-11-06T23:29:17Z,SIA915,"14.503024,121.006577",0,24,241
1762471764,2025-11-06T23:29:24Z,SIA915,"14.502651,121.005898",0,24,241
1762471771,2025-11-06T23:29:31Z,SIA915,"14.502251,121.005173",0,23,241
1762471778,2025-11-06T23:29:38Z,SIA915,"14.501862,121.004494",0,20,241
1762471785,2025-11-06T23:29:45Z,SIA915,"14.501575,121.00396",0,17,241
1762471793,2025-11-06T23:29:53Z,SIA915,"14.501313,121.003487",0,16,241
1762471799,2025-11-06T23:29:59Z,SIA915,"14.501081,121.003082",0,14,241
1762471806,2025-11-06T23:30:06Z,SIA915,"14.500854,121.002663",0,12,241
1762471814,2025-11-06T23:30:14Z,SIA915,"14.500671,121.002342",0,10,241
1762471820,2025-11-06T23:30:20Z,SIA915,"14.500546,121.002106",0,7,241
1762471829,2025-11-06T23:30:29Z,SIA915,"14.500405,121.001877",0,6,241
1762471837,2025-11-06T23:30:37Z,SIA915,"14.500294,121.001663",0,6,241
1762471846,2025-11-06T23:30:46Z,SIA915,"14.500184,121.001457",0,5,241
1762471856,2025-11-06T23:30:56Z,SIA915,"14.500053,121.001236",0,5,241
1762471865,2025-11-06T23:31:05Z,SIA915,"14.499951,121.00103",0,6,241
1762471874,2025-11-06T23:31:14Z,SIA915,"14.499813,121.000793",0,7,241
1762471882,2025-11-06T23:31:22Z,SIA915,"14.499676,121.000542",0,8,241
1762471889,2025-11-06T23:31:29Z,SIA915,"14.49952,121.000259",0,9,241
1762471900,2025-11-06T23:31:40Z,SIA915,"14.499416,121.000053",0,1,241
1762472059,2025-11-06T23:34:19Z,SIA915,"14.499287,120.999832",0,5,241
1762472069,2025-11-06T23:34:29Z,SIA915,"14.499126,120.999626",0,6,230
1762472077,2025-11-06T23:34:37Z,SIA915,"14.49892,120.999596",0,5,205
1762472200,2025-11-06T23:36:40Z,SIA915,"14.498692,120.99968",0,4,174
1762472207,2025-11-06T23:36:47Z,SIA915,"14.498485,120.999779",0,8,160
1762472214,2025-11-06T23:36:54Z,SIA915,"14.498264,120.999916",0,9,151
1762472220,2025-11-06T23:37:00Z,SIA915,"14.498062,121.000069",0,7,149
1762472229,2025-11-06T23:37:09Z,SIA915,"14.497972,121.000275",0,5,123
1762472241,2025-11-06T23:37:21Z,SIA915,"14.498039,121.000504",0,5,87
1762472249,2025-11-06T23:37:29Z,SIA915,"14.498182,121.000717",0,6,64
1762472257,2025-11-06T23:37:37Z,SIA915,"14.498314,121.000931",0,7,61
1762472264,2025-11-06T23:37:44Z,SIA915,"14.498451,121.001183",0,11,61
1762472269,2025-11-06T23:37:49Z,SIA915,"14.498625,121.00148",0,15,61
1762472276,2025-11-06T23:37:56Z,SIA915,"14.499148,121.002441",0,43,61
1762472283,2025-11-06T23:38:03Z,SIA915,"14.500103,121.004143",0,72,61
1762472291,2025-11-06T23:38:11Z,SIA915,"14.501767,121.007179",75,104,60
1762472298,2025-11-06T23:38:18Z,SIA915,"14.503722,121.010643",75,126,60
1762472307,2025-11-06T23:38:27Z,SIA915,"14.506655,121.0159",75,154,60
1762472316,2025-11-06T23:38:36Z,SIA915,"14.51001,121.02198",150,174,60
1762472323,2025-11-06T23:38:43Z,SIA915,"14.512985,121.027428",325,176,60
1762472332,2025-11-06T23:38:52Z,SIA915,"14.516418,121.033821",600,179,61
1762472338,2025-11-06T23:38:58Z,SIA915,"14.518982,121.038841",850,179,62
1762472345,2025-11-06T23:39:05Z,SIA915,"14.521317,121.043625",1075,179,63
1762472353,2025-11-06T23:39:13Z,SIA915,"14.524624,121.050446",1400,180,63
1762472360,2025-11-06T23:39:20Z,SIA915,"14.526855,121.055176",1600,181,64
1762472369,2025-11-06T23:39:29Z,SIA915,"14.53038,121.062515",1925,182,63
1762472377,2025-11-06T23:39:37Z,SIA915,"14.533493,121.068954",2200,184,62
1762472384,2025-11-06T23:39:44Z,SIA915,"14.536308,121.074493",2450,184,62
1762472391,2025-11-06T23:39:51Z,SIA915,"14.538986,121.079895",2700,184,62
1762472398,2025-11-06T23:39:58Z,SIA915,"14.541504,121.084915",2925,186,63
1762472407,2025-11-06T23:40:07Z,SIA915,"14.545166,121.092354",3250,186,63
1762472415,2025-11-06T23:40:15Z,SIA915,"14.548599,121.099266",3475,192,62
1762472422,2025-11-06T23:40:22Z,SIA915,"14.551071,121.104713",3600,200,68
1762472425,2025-11-06T23:40:25Z,SIA915,"14.55181,121.107018",3625,203,72
1762472427,2025-11-06T23:40:27Z,SIA915,"14.552369,121.109283",3675,205,76
1762472429,2025-11-06T23:40:29Z,SIA915,"14.552742,121.111694",3700,210,82
1762472432,2025-11-06T23:40:32Z,SIA915,"14.552856,121.1138",3750,213,86
1762472434,2025-11-06T23:40:34Z,SIA915,"14.552856,121.116074",3750,217,91
1762472436,2025-11-06T23:40:36Z,SIA915,"14.552555,121.11911",3800,222,97
1762472439,2025-11-06T23:40:39Z,SIA915,"14.552078,121.121567",3825,225,101
1762472441,2025-11-06T23:40:41Z,SIA915,"14.551483,121.12365",3850,229,105
1762472443,2025-11-06T23:40:43Z,SIA915,"14.550522,121.12616",3875,233,110
1762472445,2025-11-06T23:40:45Z,SIA915,"14.549529,121.128319",3925,236,114
1762472448,2025-11-06T23:40:48Z,SIA915,"14.548459,121.130287",3950,240,120
1762472450,2025-11-06T23:40:50Z,SIA915,"14.546923,121.132607",4000,243,124
1762472452,2025-11-06T23:40:52Z,SIA915,"14.545386,121.134628",4050,246,128
1762472454,2025-11-06T23:40:54Z,SIA915,"14.543335,121.136818",4075,251,134
1762472457,2025-11-06T23:40:57Z,SIA915,"14.541336,121.138672",4125,254,138
1762472459,2025-11-06T23:40:59Z,SIA915,"14.539474,121.140167",4175,256,142
1762472461,2025-11-06T23:41:01Z,SIA915,"14.536743,121.142029",4225,259,145
1762472464,2025-11-06T23:41:04Z,SIA915,"14.534592,121.143257",4250,264,150
1762472466,2025-11-06T23:41:06Z,SIA915,"14.531839,121.144745",4325,266,153
1762472468,2025-11-06T23:41:08Z,SIA915,"14.528778,121.146194",4375,270,155
1762472470,2025-11-06T23:41:10Z,SIA915,"14.526346,121.147255",4425,272,156
1762472473,2025-11-06T23:41:13Z,SIA915,"14.523274,121.148552",4500,273,157
1762472475,2025-11-06T23:41:15Z,SIA915,"14.521365,121.149323",4575,276,158
1762472477,2025-11-06T23:41:17Z,SIA915,"14.518247,121.150528",4650,276,159
1762472479,2025-11-06T23:41:19Z,SIA915,"14.515732,121.151543",4725,277,159
1762472482,2025-11-06T23:41:22Z,SIA915,"14.513172,121.152504",4800,278,159
1762472484,2025-11-06T23:41:24Z,SIA915,"14.510007,121.153709",4900,279,159
1762472487,2025-11-06T23:41:27Z,SIA915,"14.506943,121.154861",5000,280,159
1762472489,2025-11-06T23:41:29Z,SIA915,"14.504374,121.15583",5075,281,159
1762472491,2025-11-06T23:41:31Z,SIA915,"14.501441,121.156937",5175,281,159
1762472505,2025-11-06T23:41:45Z,SIA915,"14.484868,121.1632",5700,285,159
1762472518,2025-11-06T23:41:58Z,SIA915,"14.467923,121.169563",5950,299,159
1762472531,2025-11-06T23:42:11Z,SIA915,"14.450187,121.176353",6175,315,159
1762472545,2025-11-06T23:42:25Z,SIA915,"14.430868,121.183823",6425,328,159
1762472558,2025-11-06T23:42:38Z,SIA915,"14.411409,121.191391",6775,336,159
1762472572,2025-11-06T23:42:52Z,SIA915,"14.390305,121.199562",7300,340,159
1762472586,2025-11-06T23:43:06Z,SIA915,"14.370895,121.206947",7800,343,160
1762472594,2025-11-06T23:43:14Z,SIA915,"14.357082,121.210518",8125,345,169
1762472597,2025-11-06T23:43:17Z,SIA915,"14.353917,121.211052",8200,346,171
1762472599,2025-11-06T23:43:19Z,SIA915,"14.349122,121.211632",8300,346,173
1762472602,2025-11-06T23:43:22Z,SIA915,"14.345259,121.211914",8400,346,176
1762472604,2025-11-06T23:43:24Z,SIA915,"14.342834,121.211967",8450,347,178
1762472606,2025-11-06T23:43:26Z,SIA915,"14.338943,121.211967",8525,348,180
1762472608,2025-11-06T23:43:28Z,SIA915,"14.335203,121.211769",8625,348,183
1762472611,2025-11-06T23:43:31Z,SIA915,"14.331339,121.211388",8700,349,186
1762472613,2025-11-06T23:43:33Z,SIA915,"14.328278,121.210876",8775,349,188
1762472615,2025-11-06T23:43:35Z,SIA915,"14.323517,121.209885",8900,350,192
1762472617,2025-11-06T23:43:37Z,SIA915,"14.320038,121.208939",8975,350,195
1762472620,2025-11-06T23:43:40Z,SIA915,"14.316769,121.20787",9050,350,197
1762472622,2025-11-06T23:43:42Z,SIA915,"14.313416,121.206619",9125,350,200
1762472624,2025-11-06T23:43:44Z,SIA915,"14.309692,121.20491",9200,352,204
1762472627,2025-11-06T23:43:47Z,SIA915,"14.30662,121.203339",9275,352,207
1762472629,2025-11-06T23:43:49Z,SIA915,"14.303454,121.201508",9350,352,209
1762472631,2025-11-06T23:43:51Z,SIA915,"14.300987,121.199921",9425,352,212
1762472633,2025-11-06T23:43:53Z,SIA915,"14.298386,121.198097",9475,352,214
1762472635,2025-11-06T23:43:55Z,SIA915,"14.295121,121.195534",9575,353,217
1762472637,2025-11-06T23:43:57Z,SIA915,"14.292049,121.193031",9650,353,218
1762472639,2025-11-06T23:43:59Z,SIA915,"14.289642,121.190994",9725,354,219
1762472642,2025-11-06T23:44:02Z,SIA915,"14.286975,121.188744",9800,354,219
