Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762277543,2025-11-04T17:32:23Z,SIA523,"17.234419,78.426506",0,0,0
1762277626,2025-11-04T17:33:46Z,SIA523,"17.234219,78.426506",0,2,357
1762277644,2025-11-04T17:34:04Z,SIA523,"17.234013,78.426529",0,2,357
1762277665,2025-11-04T17:34:25Z,SIA523,"17.233801,78.42659",0,2,22
1762277686,2025-11-04T17:34:46Z,SIA523,"17.233601,78.426605",0,2,47
1762277710,2025-11-04T17:35:10Z,SIA523,"17.233395,78.426491",0,2,73
1762277735,2025-11-04T17:35:35Z,SIA523,"17.23329,78.426285",0,0,87
1762278052,2025-11-04T17:40:52Z,SIA523,"17.233292,78.426491",0,4,90
1762278061,2025-11-04T17:41:01Z,SIA523,"17.233292,78.426697",0,5,90
1762278070,2025-11-04T17:41:10Z,SIA523,"17.233292,78.426918",0,6,90
1762278077,2025-11-04T17:41:17Z,SIA523,"17.233257,78.427155",0,8,95
1762278084,2025-11-04T17:41:24Z,SIA523,"17.233028,78.427299",0,9,129
1762278090,2025-11-04T17:41:30Z,SIA523,"17.232788,78.427299",0,9,160
1762278096,2025-11-04T17:41:36Z,SIA523,"17.232555,78.427322",0,10,168
1762278102,2025-11-04T17:41:42Z,SIA523,"17.232365,78.427567",0,12,137
1762278106,2025-11-04T17:41:46Z,SIA523,"17.232382,78.427826",0,12,106
1762278111,2025-11-04T17:41:51Z,SIA523,"17.232416,78.42807",0,11,90
1762278115,2025-11-04T17:41:55Z,SIA523,"17.232428,78.428307",0,12,90
1762278120,2025-11-04T17:42:00Z,SIA523,"17.232428,78.428551",0,12,90
1762278123,2025-11-04T17:42:03Z,SIA523,"17.232428,78.428757",0,12,90
1762278130,2025-11-04T17:42:10Z,SIA523,"17.232433,78.429169",0,13,90
1762278137,2025-11-04T17:42:17Z,SIA523,"17.232445,78.429604",0,13,90
1762278144,2025-11-04T17:42:24Z,SIA523,"17.232445,78.430061",0,14,90
1762278151,2025-11-04T17:42:31Z,SIA523,"17.232456,78.430565",0,14,90
1762278158,2025-11-04T17:42:38Z,SIA523,"17.232468,78.431046",0,15,90
1762278166,2025-11-04T17:42:46Z,SIA523,"17.232468,78.431587",0,15,90
1762278174,2025-11-04T17:42:54Z,SIA523,"17.232479,78.43219",0,15,90
1762278182,2025-11-04T17:43:02Z,SIA523,"17.232487,78.432724",0,15,90
1762278188,2025-11-04T17:43:08Z,SIA523,"17.232491,78.433243",0,15,90
1762278196,2025-11-04T17:43:16Z,SIA523,"17.232502,78.433701",0,15,90
1762278202,2025-11-04T17:43:22Z,SIA523,"17.232502,78.434181",0,14,90
1762278209,2025-11-04T17:43:29Z,SIA523,"17.23251,78.434692",0,14,90
1762278217,2025-11-04T17:43:37Z,SIA523,"17.232521,78.435211",0,14,90
1762278223,2025-11-04T17:43:43Z,SIA523,"17.232521,78.435638",0,14,90
1762278231,2025-11-04T17:43:51Z,SIA523,"17.232536,78.43618",0,14,90
1762278237,2025-11-04T17:43:57Z,SIA523,"17.232536,78.436623",0,14,90
1762278247,2025-11-04T17:44:07Z,SIA523,"17.232548,78.437286",0,14,90
1762278253,2025-11-04T17:44:13Z,SIA523,"17.232555,78.437744",0,15,90
1762278260,2025-11-04T17:44:20Z,SIA523,"17.232559,78.438278",0,15,90
1762278268,2025-11-04T17:44:28Z,SIA523,"17.232571,78.43885",0,16,90
1762278276,2025-11-04T17:44:36Z,SIA523,"17.232582,78.439476",0,16,90
1762278284,2025-11-04T17:44:44Z,SIA523,"17.232594,78.440117",0,16,90
1762278293,2025-11-04T17:44:53Z,SIA523,"17.232603,78.440811",0,16,90
1762278300,2025-11-04T17:45:00Z,SIA523,"17.232605,78.441368",0,16,90
1762278306,2025-11-04T17:45:06Z,SIA523,"17.232616,78.44191",0,15,90
1762278315,2025-11-04T17:45:15Z,SIA523,"17.232626,78.442383",0,15,90
1762278326,2025-11-04T17:45:26Z,SIA523,"17.232637,78.44323",0,11,90
1762278333,2025-11-04T17:45:33Z,SIA523,"17.232603,78.443535",0,10,95
1762278344,2025-11-04T17:45:44Z,SIA523,"17.232115,78.44371",0,10,160
1762278352,2025-11-04T17:45:52Z,SIA523,"17.231712,78.443687",0,11,177
1762278365,2025-11-04T17:46:05Z,SIA523,"17.231159,78.443802",0,9,160
1762278374,2025-11-04T17:46:14Z,SIA523,"17.23106,78.444084",0,8,126
1762278378,2025-11-04T17:46:18Z,SIA523,"17.231066,78.444298",0,8,104
1762278385,2025-11-04T17:46:25Z,SIA523,"17.231077,78.44455",0,9,92
1762278394,2025-11-04T17:46:34Z,SIA523,"17.231077,78.444992",0,11,90
1762278398,2025-11-04T17:46:38Z,SIA523,"17.231091,78.445236",0,12,90
1762278405,2025-11-04T17:46:45Z,SIA523,"17.231094,78.445656",0,14,90
1762278408,2025-11-04T17:46:48Z,SIA523,"17.231102,78.445915",0,15,90
1762278412,2025-11-04T17:46:52Z,SIA523,"17.231094,78.446213",0,15,90
1762278425,2025-11-04T17:47:05Z,SIA523,"17.231117,78.447289",0,18,90
1762278433,2025-11-04T17:47:13Z,SIA523,"17.231129,78.447998",0,20,90
1762278439,2025-11-04T17:47:19Z,SIA523,"17.23114,78.448578",0,20,90
1762278447,2025-11-04T17:47:27Z,SIA523,"17.231148,78.449371",0,20,90
1762278455,2025-11-04T17:47:35Z,SIA523,"17.231163,78.45018",0,20,90
1762278462,2025-11-04T17:47:42Z,SIA523,"17.231174,78.450897",0,21,90
1762278469,2025-11-04T17:47:49Z,SIA523,"17.231182,78.451546",0,19,90
1762278477,2025-11-04T17:47:57Z,SIA523,"17.231194,78.452133",0,11,90
1762278488,2025-11-04T17:48:08Z,SIA523,"17.231197,78.452477",0,4,90
1762278497,2025-11-04T17:48:17Z,SIA523,"17.231194,78.452698",0,6,90
1762278505,2025-11-04T17:48:25Z,SIA523,"17.231182,78.452965",0,6,92
1762278515,2025-11-04T17:48:35Z,SIA523,"17.230957,78.453201",0,8,126
1762278522,2025-11-04T17:48:42Z,SIA523,"17.23074,78.453239",0,6,151
1762278533,2025-11-04T17:48:53Z,SIA523,"17.230507,78.453209",0,5,171
1762278569,2025-11-04T17:49:29Z,SIA523,"17.230305,78.453186",0,3,177
1762278579,2025-11-04T17:49:39Z,SIA523,"17.230076,78.453186",0,6,180
1762278587,2025-11-04T17:49:47Z,SIA523,"17.229836,78.453094",0,7,194
1762278596,2025-11-04T17:49:56Z,SIA523,"17.229635,78.452919",0,6,210
1762278608,2025-11-04T17:50:08Z,SIA523,"17.229403,78.452698",0,5,219
1762278622,2025-11-04T17:50:22Z,SIA523,"17.229149,78.452492",0,5,219
1762278631,2025-11-04T17:50:31Z,SIA523,"17.229065,78.452263",0,6,236
1762278638,2025-11-04T17:50:38Z,SIA523,"17.229111,78.452057",0,7,261
1762278644,2025-11-04T17:50:44Z,SIA523,"17.229122,78.451836",0,9,267
1762278649,2025-11-04T17:50:49Z,SIA523,"17.229115,78.451553",0,20,270
1762278651,2025-11-04T17:50:51Z,SIA523,"17.229115,78.451202",0,32,270
1762278653,2025-11-04T17:50:53Z,SIA523,"17.229115,78.450958",0,38,270
1762278655,2025-11-04T17:50:55Z,SIA523,"17.229103,78.450417",0,49,270
1762278658,2025-11-04T17:50:58Z,SIA523,"17.229092,78.449577",0,62,270
1762278660,2025-11-04T17:51:00Z,SIA523,"17.229088,78.448982",0,69,270
1762278662,2025-11-04T17:51:02Z,SIA523,"17.229076,78.448265",0,76,270
1762278665,2025-11-04T17:51:05Z,SIA523,"17.229065,78.447113",0,88,270
1762278671,2025-11-04T17:51:11Z,SIA523,"17.229034,78.44532",2000,102,268
1762278673,2025-11-04T17:51:13Z,SIA523,"17.229031,78.443069",2000,102,268
1762278682,2025-11-04T17:51:22Z,SIA523,"17.228943,78.437561",1975,146,269
1762278689,2025-11-04T17:51:29Z,SIA523,"17.228844,78.432182",1925,168,269
1762278696,2025-11-04T17:51:36Z,SIA523,"17.228798,78.425949",2075,175,270
1762278703,2025-11-04T17:51:43Z,SIA523,"17.228798,78.420799",2325,172,270
1762278712,2025-11-04T17:51:52Z,SIA523,"17.22876,78.413376",2650,172,269
1762278718,2025-11-04T17:51:58Z,SIA523,"17.228657,78.408195",2850,174,268
1762278726,2025-11-04T17:52:06Z,SIA523,"17.228378,78.400887",3100,177,267
1762278731,2025-11-04T17:52:11Z,SIA523,"17.228191,78.397263",3250,177,264
1762278733,2025-11-04T17:52:13Z,SIA523,"17.227959,78.395248",3325,178,261
1762278735,2025-11-04T17:52:15Z,SIA523,"17.227633,78.393433",3375,179,257
1762278737,2025-11-04T17:52:17Z,SIA523,"17.227215,78.391716",3450,180,252
1762278740,2025-11-04T17:52:20Z,SIA523,"17.226517,78.389709",3525,181,247
1762278742,2025-11-04T17:52:22Z,SIA523,"17.225601,78.387741",3600,182,242
1762278744,2025-11-04T17:52:24Z,SIA523,"17.224794,78.386322",3650,184,236
1762278746,2025-11-04T17:52:26Z,SIA523,"17.223724,78.384804",3700,185,231
1762278748,2025-11-04T17:52:28Z,SIA523,"17.22226,78.383064",3725,188,226
1762278751,2025-11-04T17:52:31Z,SIA523,"17.220978,78.381813",3750,190,220
1762278753,2025-11-04T17:52:33Z,SIA523,"17.219467,78.380608",3775,193,214
1762278755,2025-11-04T17:52:35Z,SIA523,"17.217625,78.37941",3825,194,209
1762278757,2025-11-04T17:52:37Z,SIA523,"17.215897,78.37854",3825,197,202
1762278759,2025-11-04T17:52:39Z,SIA523,"17.214041,78.377838",3850,200,196
1762278761,2025-11-04T17:52:41Z,SIA523,"17.212234,78.37738",3875,201,190
1762278764,2025-11-04T17:52:44Z,SIA523,"17.2099,78.37709",3900,202,185
1762278766,2025-11-04T17:52:46Z,SIA523,"17.20816,78.376991",3925,205,179
1762278768,2025-11-04T17:52:48Z,SIA523,"17.206173,78.377106",3950,207,174
1762278770,2025-11-04T17:52:50Z,SIA523,"17.20417,78.377396",3975,208,170
1762278772,2025-11-04T17:52:52Z,SIA523,"17.201889,78.377792",4000,211,168
1762278774,2025-11-04T17:52:54Z,SIA523,"17.200012,78.378197",4025,214,167
1762278776,2025-11-04T17:52:56Z,SIA523,"17.197769,78.378731",4050,216,166
1762278779,2025-11-04T17:52:59Z,SIA523,"17.195698,78.379257",4050,219,166
1762278781,2025-11-04T17:53:01Z,SIA523,"17.193649,78.379799",4075,221,165
1762278783,2025-11-04T17:53:03Z,SIA523,"17.191544,78.380318",4125,223,165
1762278785,2025-11-04T17:53:05Z,SIA523,"17.188889,78.381042",4175,225,165
1762278788,2025-11-04T17:53:08Z,SIA523,"17.186342,78.381714",4200,227,165
1762278790,2025-11-04T17:53:10Z,SIA523,"17.184061,78.382301",4250,229,165
1762278792,2025-11-04T17:53:12Z,SIA523,"17.182022,78.382828",4275,232,166
1762278794,2025-11-04T17:53:14Z,SIA523,"17.18001,78.383331",4300,234,166
1762278796,2025-11-04T17:53:16Z,SIA523,"17.177353,78.384033",4350,237,166
1762278799,2025-11-04T17:53:19Z,SIA523,"17.174704,78.384659",4375,239,166
1762278805,2025-11-04T17:53:25Z,SIA523,"17.167969,78.386292",4450,247,167
1762278812,2025-11-04T17:53:32Z,SIA523,"17.159775,78.388222",4550,254,166
1762278816,2025-11-04T17:53:36Z,SIA523,"17.154968,78.389526",4625,260,163
1762278818,2025-11-04T17:53:38Z,SIA523,"17.152359,78.390396",4650,261,160
1762278821,2025-11-04T17:53:41Z,SIA523,"17.149984,78.391327",4675,264,157
1762278823,2025-11-04T17:53:43Z,SIA523,"17.147507,78.392509",4700,266,153
1762278825,2025-11-04T17:53:45Z,SIA523,"17.144852,78.394005",4725,267,150
1762278827,2025-11-04T17:53:47Z,SIA523,"17.1427,78.395447",4775,270,146
1762278829,2025-11-04T17:53:49Z,SIA523,"17.14064,78.397041",4800,271,141
1762278831,2025-11-04T17:53:51Z,SIA523,"17.138765,78.398735",4825,273,136
1762278834,2025-11-04T17:53:54Z,SIA523,"17.13681,78.400742",4850,274,132
1762278836,2025-11-04T17:53:56Z,SIA523,"17.134995,78.402946",4900,275,128
