Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762476841,2025-11-07T00:54:01Z,ANZ945,"-21.202663,-159.808273",0,25,255
1762476848,2025-11-07T00:54:08Z,ANZ945,"-21.202663,-159.809174",0,24,255
1762476855,2025-11-07T00:54:15Z,ANZ945,"-21.202663,-159.809998",0,21,255
1762476862,2025-11-07T00:54:22Z,ANZ945,"-21.202663,-159.810638",0,22,255
1762476869,2025-11-07T00:54:29Z,ANZ945,"-21.202663,-159.811493",0,22,255
1762476878,2025-11-07T00:54:38Z,ANZ945,"-21.202671,-159.812668",0,23,255
1762476886,2025-11-07T00:54:46Z,ANZ945,"-21.20266,-159.813553",0,23,255
1762476906,2025-11-07T00:55:06Z,ANZ945,"-21.202648,-159.815369",0,0,255
1762476911,2025-11-07T00:55:11Z,ANZ945,"-21.202623,-159.815598",0,0,261
1762476954,2025-11-07T00:55:54Z,ANZ945,"-21.202686,-159.816711",0,0,151
1762476985,2025-11-07T00:56:25Z,ANZ945,"-21.202648,-159.815002",0,0,75
1762476991,2025-11-07T00:56:31Z,ANZ945,"-21.202652,-159.810822",0,93,90
1762477001,2025-11-07T00:56:41Z,ANZ945,"-21.202635,-159.804993",0,126,90
1762477264,2025-11-07T01:01:04Z,ANZ945,"-21.255753,-159.676666",6125,256,242
