Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762694844,2025-11-09T13:27:24Z,SAA343,"-26.136852,28.231922",0,0,5
1762694933,2025-11-09T13:28:53Z,SAA343,"-26.137058,28.231897",0,2,5
1762694954,2025-11-09T13:29:14Z,SAA343,"-26.137266,28.231892",0,2,16
1762694972,2025-11-09T13:29:32Z,SAA343,"-26.13747,28.231871",0,2,70
1762694995,2025-11-09T13:29:55Z,SAA343,"-26.13751,28.231655",0,2,95
1762695214,2025-11-09T13:33:34Z,SAA343,"-26.137527,28.231871",0,5,95
1762695221,2025-11-09T13:33:41Z,SAA343,"-26.137556,28.232117",0,8,95
1762695228,2025-11-09T13:33:48Z,SAA343,"-26.137592,28.232473",0,10,95
1762695235,2025-11-09T13:33:55Z,SAA343,"-26.137615,28.232763",0,8,95
1762695241,2025-11-09T13:34:01Z,SAA343,"-26.137699,28.232985",0,8,112
1762695248,2025-11-09T13:34:08Z,SAA343,"-26.137917,28.233192",0,9,140
1762695254,2025-11-09T13:34:14Z,SAA343,"-26.138168,28.233271",0,10,171
1762695258,2025-11-09T13:34:18Z,SAA343,"-26.138409,28.233192",0,12,194
1762695262,2025-11-09T13:34:22Z,SAA343,"-26.138649,28.233128",0,13,194
1762695267,2025-11-09T13:34:27Z,SAA343,"-26.138895,28.233042",0,13,196
1762695271,2025-11-09T13:34:31Z,SAA343,"-26.139141,28.232971",0,14,196
1762695278,2025-11-09T13:34:38Z,SAA343,"-26.139582,28.23283",0,14,194
1762695281,2025-11-09T13:34:41Z,SAA343,"-26.139791,28.232763",0,15,196
1762695287,2025-11-09T13:34:47Z,SAA343,"-26.140245,28.232618",0,16,196
1762695295,2025-11-09T13:34:55Z,SAA343,"-26.140816,28.232447",0,17,196
1762695302,2025-11-09T13:35:02Z,SAA343,"-26.141315,28.232288",0,15,196
1762695309,2025-11-09T13:35:09Z,SAA343,"-26.141727,28.232168",0,13,194
1762695315,2025-11-09T13:35:15Z,SAA343,"-26.142036,28.232065",0,11,194
1762695320,2025-11-09T13:35:20Z,SAA343,"-26.14226,28.231998",0,9,194
1762695326,2025-11-09T13:35:26Z,SAA343,"-26.142483,28.231987",0,9,182
1762695333,2025-11-09T13:35:33Z,SAA343,"-26.142735,28.232052",0,8,165
1762695340,2025-11-09T13:35:40Z,SAA343,"-26.142969,28.232117",0,7,165
1762695348,2025-11-09T13:35:48Z,SAA343,"-26.143169,28.232182",0,5,165
1762695358,2025-11-09T13:35:58Z,SAA343,"-26.143387,28.232246",0,5,165
1762695373,2025-11-09T13:36:13Z,SAA343,"-26.143604,28.232311",0,3,165
1762695432,2025-11-09T13:37:12Z,SAA343,"-26.14381,28.232363",0,3,165
1762695443,2025-11-09T13:37:23Z,SAA343,"-26.144016,28.232414",0,5,165
1762695449,2025-11-09T13:37:29Z,SAA343,"-26.144226,28.232473",0,7,165
1762695456,2025-11-09T13:37:36Z,SAA343,"-26.144482,28.232552",0,8,165
1762695464,2025-11-09T13:37:44Z,SAA343,"-26.14476,28.232645",0,8,160
1762695473,2025-11-09T13:37:53Z,SAA343,"-26.144981,28.23287",0,7,132
1762695479,2025-11-09T13:37:59Z,SAA343,"-26.144989,28.233088",0,7,95
1762695529,2025-11-09T13:38:49Z,SAA343,"-26.144936,28.233292",0,0,78
1762695550,2025-11-09T13:39:10Z,SAA343,"-26.14489,28.233503",0,5,78
1762695557,2025-11-09T13:39:17Z,SAA343,"-26.14484,28.233763",0,7,75
1762695564,2025-11-09T13:39:24Z,SAA343,"-26.14476,28.234074",0,10,75
1762695568,2025-11-09T13:39:28Z,SAA343,"-26.144726,28.234295",0,10,78
1762695573,2025-11-09T13:39:33Z,SAA343,"-26.144691,28.234526",0,9,81
1762695580,2025-11-09T13:39:40Z,SAA343,"-26.144691,28.234745",0,6,90
1762695589,2025-11-09T13:39:49Z,SAA343,"-26.144575,28.234955",0,5,53
1762695598,2025-11-09T13:39:58Z,SAA343,"-26.144354,28.234995",0,5,14
1762695701,2025-11-09T13:41:41Z,SAA343,"-26.144051,28.235096",0,15,16
1762695709,2025-11-09T13:41:49Z,SAA343,"-26.142654,28.235523",0,49,16
1762695717,2025-11-09T13:41:57Z,SAA343,"-26.139826,28.236395",5325,86,15
1762695729,2025-11-09T13:42:09Z,SAA343,"-26.133308,28.238401",5300,133,15
1762695744,2025-11-09T13:42:24Z,SAA343,"-26.122467,28.241808",5375,176,15
1762695758,2025-11-09T13:42:38Z,SAA343,"-26.111103,28.24548",5950,173,16
1762695773,2025-11-09T13:42:53Z,SAA343,"-26.099854,28.24901",6600,172,15
1762695787,2025-11-09T13:43:07Z,SAA343,"-26.089233,28.252068",7100,172,14
1762695801,2025-11-09T13:43:21Z,SAA343,"-26.078051,28.255039",7375,178,13
1762695815,2025-11-09T13:43:35Z,SAA343,"-26.066254,28.258236",7575,189,14
1762695829,2025-11-09T13:43:49Z,SAA343,"-26.053938,28.261801",7800,203,15
1762695843,2025-11-09T13:44:03Z,SAA343,"-26.040577,28.265974",8150,215,16
1762695853,2025-11-09T13:44:13Z,SAA343,"-26.030731,28.26803",8475,217,6
1762695855,2025-11-09T13:44:15Z,SAA343,"-26.02866,28.268034",8550,218,2
1762695857,2025-11-09T13:44:17Z,SAA343,"-26.026611,28.267822",8600,218,357
1762695859,2025-11-09T13:44:19Z,SAA343,"-26.024551,28.26746",8650,219,353
1762695861,2025-11-09T13:44:21Z,SAA343,"-26.022537,28.266941",8700,220,348
1762695863,2025-11-09T13:44:23Z,SAA343,"-26.020615,28.266216",8750,220,344
1762695865,2025-11-09T13:44:25Z,SAA343,"-26.018967,28.265387",8800,220,339
1762695867,2025-11-09T13:44:27Z,SAA343,"-26.017115,28.264336",8875,221,334
1762695869,2025-11-09T13:44:29Z,SAA343,"-26.01535,28.263107",8925,223,330
1762695871,2025-11-09T13:44:31Z,SAA343,"-26.013344,28.261379",9000,223,325
1762695873,2025-11-09T13:44:33Z,SAA343,"-26.012054,28.260204",9050,225,318
1762695875,2025-11-09T13:44:35Z,SAA343,"-26.01059,28.258493",9100,225,316
1762695877,2025-11-09T13:44:37Z,SAA343,"-26.009079,28.256577",9150,227,312
1762695879,2025-11-09T13:44:39Z,SAA343,"-26.007944,28.254671",9200,228,307
1762695881,2025-11-09T13:44:41Z,SAA343,"-26.00692,28.252769",9250,229,303
1762695883,2025-11-09T13:44:43Z,SAA343,"-26.005875,28.250462",9300,230,298
1762695885,2025-11-09T13:44:45Z,SAA343,"-26.004913,28.247507",9375,232,292
1762695887,2025-11-09T13:44:47Z,SAA343,"-26.004219,28.245163",9425,233,289
1762695889,2025-11-09T13:44:49Z,SAA343,"-26.003586,28.242792",9475,234,287
1762695892,2025-11-09T13:44:52Z,SAA343,"-26.003036,28.240513",9525,235,285
1762695894,2025-11-09T13:44:54Z,SAA343,"-26.002497,28.238138",9575,237,284
1762695896,2025-11-09T13:44:56Z,SAA343,"-26.001892,28.235233",9600,240,283
1762695898,2025-11-09T13:44:58Z,SAA343,"-26.001434,28.232998",9650,242,282
1762695900,2025-11-09T13:45:00Z,SAA343,"-26.000977,28.230459",9675,244,282
1762695902,2025-11-09T13:45:02Z,SAA343,"-26.000519,28.228075",9700,246,281
1762695904,2025-11-09T13:45:04Z,SAA343,"-26.000076,28.225674",9725,248,281
1762695906,2025-11-09T13:45:06Z,SAA343,"-25.999695,28.223204",9750,250,281
1762695908,2025-11-09T13:45:08Z,SAA343,"-25.999146,28.220181",9800,254,280
1762695910,2025-11-09T13:45:10Z,SAA343,"-25.998779,28.218073",9800,256,280
1762695912,2025-11-09T13:45:12Z,SAA343,"-25.998367,28.215534",9825,260,280
1762695914,2025-11-09T13:45:14Z,SAA343,"-25.997955,28.212839",9850,262,280
1762695916,2025-11-09T13:45:16Z,SAA343,"-25.997469,28.209774",9875,266,280
1762695930,2025-11-09T13:45:30Z,SAA343,"-25.994339,28.190556",10225,281,280
1762695942,2025-11-09T13:45:42Z,SAA343,"-25.991409,28.172676",10675,288,280
1762695956,2025-11-09T13:45:56Z,SAA343,"-25.988617,28.151999",11300,292,274
1762695958,2025-11-09T13:45:58Z,SAA343,"-25.988571,28.148424",11375,294,271
1762695960,2025-11-09T13:46:00Z,SAA343,"-25.988708,28.145367",11450,295,268
1762695963,2025-11-09T13:46:03Z,SAA343,"-25.989029,28.14205",11525,297,265
1762695965,2025-11-09T13:46:05Z,SAA343,"-25.98951,28.138996",11600,298,261
1762695967,2025-11-09T13:46:07Z,SAA343,"-25.990253,28.1353",11675,299,258
1762695969,2025-11-09T13:46:09Z,SAA343,"-25.991093,28.132448",11725,300,254
1762695971,2025-11-09T13:46:11Z,SAA343,"-25.992163,28.12949",11800,301,251
1762695973,2025-11-09T13:46:13Z,SAA343,"-25.993149,28.127176",11850,302,247
1762695975,2025-11-09T13:46:15Z,SAA343,"-25.994537,28.124367",11925,303,243
1762695977,2025-11-09T13:46:17Z,SAA343,"-25.996073,28.121672",11975,304,238
1762695979,2025-11-09T13:46:19Z,SAA343,"-25.998138,28.118626",12050,305,236
1762695981,2025-11-09T13:46:21Z,SAA343,"-25.999472,28.11676",12100,306,232
1762695983,2025-11-09T13:46:23Z,SAA343,"-26.001427,28.11433",12175,307,229
1762695985,2025-11-09T13:46:25Z,SAA343,"-26.003847,28.111584",12275,308,227
1762695987,2025-11-09T13:46:27Z,SAA343,"-26.005709,28.10947",12325,310,225
1762695989,2025-11-09T13:46:29Z,SAA343,"-26.007757,28.107147",12400,311,225
1762695991,2025-11-09T13:46:31Z,SAA343,"-26.00976,28.104982",12450,313,225
1762695993,2025-11-09T13:46:33Z,SAA343,"-26.011948,28.102552",12500,315,225
1762695995,2025-11-09T13:46:35Z,SAA343,"-26.01416,28.100124",12525,316,225
1762695997,2025-11-09T13:46:37Z,SAA343,"-26.016403,28.097586",12575,318,225
1762695999,2025-11-09T13:46:39Z,SAA343,"-26.018005,28.095772",12600,321,225
1762696001,2025-11-09T13:46:41Z,SAA343,"-26.020233,28.093309",12650,321,225
1762696003,2025-11-09T13:46:43Z,SAA343,"-26.022469,28.090773",12675,325,225
1762696005,2025-11-09T13:46:45Z,SAA343,"-26.02475,28.088184",12700,326,225
1762696007,2025-11-09T13:46:47Z,SAA343,"-26.026932,28.085667",12750,328,225
1762696009,2025-11-09T13:46:49Z,SAA343,"-26.02866,28.083696",12775,330,225
1762696041,2025-11-09T13:47:21Z,SAA343,"-26.064835,28.040997",13025,370,227
1762696074,2025-11-09T13:47:54Z,SAA343,"-26.103699,27.992594",12975,397,232
1762696082,2025-11-09T13:48:02Z,SAA343,"-26.112314,27.978374",13000,399,237
1762696084,2025-11-09T13:48:04Z,SAA343,"-26.114136,27.975079",13000,399,238
1762696086,2025-11-09T13:48:06Z,SAA343,"-26.116013,27.971451",13000,400,239
1762696088,2025-11-09T13:48:08Z,SAA343,"-26.117807,27.967863",13000,400,240
1762696090,2025-11-09T13:48:10Z,SAA343,"-26.11972,27.964092",13000,401,241
1762696092,2025-11-09T13:48:12Z,SAA343,"-26.121414,27.960619",13000,400,241
1762696094,2025-11-09T13:48:14Z,SAA343,"-26.123108,27.957096",13000,400,241
1762696096,2025-11-09T13:48:16Z,SAA343,"-26.125162,27.95281",13000,401,241
1762696098,2025-11-09T13:48:18Z,SAA343,"-26.126699,27.949589",13000,401,242
1762696100,2025-11-09T13:48:20Z,SAA343,"-26.128326,27.946213",13025,401,242
1762696133,2025-11-09T13:48:53Z,SAA343,"-26.156586,27.886311",13950,402,242
1762696163,2025-11-09T13:49:23Z,SAA343,"-26.183441,27.830235",14950,410,241
1762696195,2025-11-09T13:49:55Z,SAA343,"-26.212448,27.771906",16975,385,240
1762696226,2025-11-09T13:50:26Z,SAA343,"-26.238922,27.721149",18650,369,239
1762696259,2025-11-09T13:50:59Z,SAA343,"-26.267054,27.665846",19425,380,240
