Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762500651,2025-11-07T07:30:51Z,ANZ24,"-37.007664,174.781448",0,0,47
1762500683,2025-11-07T07:31:23Z,ANZ24,"-37.007732,174.781235",0,3,50
1762500694,2025-11-07T07:31:34Z,ANZ24,"-37.007813,174.781006",0,4,61
1762500703,2025-11-07T07:31:43Z,ANZ24,"-37.007881,174.780762",0,5,87
1762500711,2025-11-07T07:31:51Z,ANZ24,"-37.007877,174.780548",0,5,109
1762500721,2025-11-07T07:32:01Z,ANZ24,"-37.007755,174.780304",0,4,132
1762500733,2025-11-07T07:32:13Z,ANZ24,"-37.007549,174.780151",0,4,154
1762500749,2025-11-07T07:32:29Z,ANZ24,"-37.007343,174.780075",0,0,188
1762500993,2025-11-07T07:36:33Z,ANZ24,"-37.007565,174.780075",0,5,174
1762501002,2025-11-07T07:36:42Z,ANZ24,"-37.007782,174.780075",0,6,163
1762501009,2025-11-07T07:36:49Z,ANZ24,"-37.008007,174.780136",0,7,151
1762501015,2025-11-07T07:36:55Z,ANZ24,"-37.008213,174.780212",0,8,143
1762501021,2025-11-07T07:37:01Z,ANZ24,"-37.008453,174.780304",0,7,140
1762501029,2025-11-07T07:37:09Z,ANZ24,"-37.008656,174.780411",0,6,140
1762501037,2025-11-07T07:37:17Z,ANZ24,"-37.008854,174.780624",0,7,120
1762501044,2025-11-07T07:37:24Z,ANZ24,"-37.008972,174.780869",0,7,106
1762501051,2025-11-07T07:37:31Z,ANZ24,"-37.009075,174.781082",0,7,101
1762501057,2025-11-07T07:37:37Z,ANZ24,"-37.009182,174.781296",0,7,101
1762501064,2025-11-07T07:37:44Z,ANZ24,"-37.009296,174.781555",0,7,101
1762501071,2025-11-07T07:37:51Z,ANZ24,"-37.009426,174.78183",0,7,101
1762501078,2025-11-07T07:37:58Z,ANZ24,"-37.009563,174.782074",0,8,104
1762501085,2025-11-07T07:38:05Z,ANZ24,"-37.009724,174.782318",0,8,109
1762501093,2025-11-07T07:38:13Z,ANZ24,"-37.009937,174.782547",0,8,118
1762501099,2025-11-07T07:38:19Z,ANZ24,"-37.010147,174.782715",0,9,126
1762501105,2025-11-07T07:38:25Z,ANZ24,"-37.010376,174.782883",0,9,132
1762501112,2025-11-07T07:38:32Z,ANZ24,"-37.010616,174.783081",0,8,126
1762501119,2025-11-07T07:38:39Z,ANZ24,"-37.01075,174.78331",0,7,109
1762501126,2025-11-07T07:38:46Z,ANZ24,"-37.010788,174.783524",0,5,90
1762501136,2025-11-07T07:38:56Z,ANZ24,"-37.010765,174.783737",0,3,73
1762501148,2025-11-07T07:39:08Z,ANZ24,"-37.010719,174.783966",0,3,59
1762501159,2025-11-07T07:39:19Z,ANZ24,"-37.01067,174.78418",0,3,56
1762501179,2025-11-07T07:39:39Z,ANZ24,"-37.010612,174.784393",0,2,53
1762501203,2025-11-07T07:40:03Z,ANZ24,"-37.010559,174.784607",0,0,53
1762501221,2025-11-07T07:40:21Z,ANZ24,"-37.01049,174.784836",0,3,53
1762501231,2025-11-07T07:40:31Z,ANZ24,"-37.010433,174.785065",0,5,50
1762501237,2025-11-07T07:40:37Z,ANZ24,"-37.010368,174.785278",0,6,50
1762501245,2025-11-07T07:40:45Z,ANZ24,"-37.010296,174.785538",0,7,50
1762501252,2025-11-07T07:40:52Z,ANZ24,"-37.010216,174.785843",0,8,50
1762501258,2025-11-07T07:40:58Z,ANZ24,"-37.010124,174.786194",0,10,53
1762501263,2025-11-07T07:41:03Z,ANZ24,"-37.010063,174.786423",0,10,50
1762501267,2025-11-07T07:41:07Z,ANZ24,"-37.009995,174.786667",0,10,50
1762501274,2025-11-07T07:41:14Z,ANZ24,"-37.009884,174.787064",0,11,50
1762501281,2025-11-07T07:41:21Z,ANZ24,"-37.009762,174.787506",0,11,50
1762501289,2025-11-07T07:41:29Z,ANZ24,"-37.009636,174.787964",0,9,50
1762501297,2025-11-07T07:41:37Z,ANZ24,"-37.009552,174.788269",0,6,50
1762501304,2025-11-07T07:41:44Z,ANZ24,"-37.009495,174.788483",0,5,50
1762501318,2025-11-07T07:41:58Z,ANZ24,"-37.009426,174.788696",0,3,50
1762501330,2025-11-07T07:42:10Z,ANZ24,"-37.009365,174.78891",0,4,50
1762501339,2025-11-07T07:42:19Z,ANZ24,"-37.009308,174.789139",0,5,50
1762501347,2025-11-07T07:42:27Z,ANZ24,"-37.009232,174.789413",0,8,50
1762501353,2025-11-07T07:42:33Z,ANZ24,"-37.009163,174.789688",0,9,50
1762501361,2025-11-07T07:42:41Z,ANZ24,"-37.009048,174.790054",0,9,50
1762501368,2025-11-07T07:42:48Z,ANZ24,"-37.008949,174.790421",0,10,50
1762501374,2025-11-07T07:42:54Z,ANZ24,"-37.008854,174.790771",0,10,50
1762501382,2025-11-07T07:43:02Z,ANZ24,"-37.008739,174.791214",0,10,50
1762501389,2025-11-07T07:43:09Z,ANZ24,"-37.00861,174.791656",0,11,50
1762501396,2025-11-07T07:43:16Z,ANZ24,"-37.008499,174.792068",0,11,50
1762501403,2025-11-07T07:43:23Z,ANZ24,"-37.008362,174.792572",0,12,50
1762501410,2025-11-07T07:43:30Z,ANZ24,"-37.008247,174.792999",0,12,50
1762501417,2025-11-07T07:43:37Z,ANZ24,"-37.00811,174.793457",0,12,50
1762501425,2025-11-07T07:43:45Z,ANZ24,"-37.007969,174.794006",0,13,50
1762501433,2025-11-07T07:43:53Z,ANZ24,"-37.007813,174.794556",0,13,50
1762501440,2025-11-07T07:44:00Z,ANZ24,"-37.00769,174.795013",0,13,50
1762501446,2025-11-07T07:44:06Z,ANZ24,"-37.007538,174.795547",0,14,50
1762501454,2025-11-07T07:44:14Z,ANZ24,"-37.007389,174.796097",0,14,50
1762501461,2025-11-07T07:44:21Z,ANZ24,"-37.007225,174.796677",0,14,50
1762501469,2025-11-07T07:44:29Z,ANZ24,"-37.007069,174.797241",0,14,50
1762501476,2025-11-07T07:44:36Z,ANZ24,"-37.006924,174.797745",0,14,50
1762501484,2025-11-07T07:44:44Z,ANZ24,"-37.00676,174.79837",0,15,50
1762501490,2025-11-07T07:44:50Z,ANZ24,"-37.006588,174.79895",0,15,50
1762501497,2025-11-07T07:44:57Z,ANZ24,"-37.006447,174.7995",0,15,50
1762501505,2025-11-07T07:45:05Z,ANZ24,"-37.006268,174.80014",0,15,50
1762501511,2025-11-07T07:45:11Z,ANZ24,"-37.006107,174.800705",0,15,50
1762501519,2025-11-07T07:45:19Z,ANZ24,"-37.005932,174.801361",0,16,50
1762501526,2025-11-07T07:45:26Z,ANZ24,"-37.005753,174.801971",0,15,50
1762501532,2025-11-07T07:45:32Z,ANZ24,"-37.005619,174.80249",0,15,50
1762501539,2025-11-07T07:45:39Z,ANZ24,"-37.005466,174.803009",0,12,50
1762501547,2025-11-07T07:45:47Z,ANZ24,"-37.005352,174.803421",0,10,50
1762501553,2025-11-07T07:45:53Z,ANZ24,"-37.005283,174.803711",0,7,53
1762501559,2025-11-07T07:45:59Z,ANZ24,"-37.005306,174.803925",0,7,70
1762501564,2025-11-07T07:46:04Z,ANZ24,"-37.005409,174.804138",0,7,92
1762501572,2025-11-07T07:46:12Z,ANZ24,"-37.005562,174.804367",0,7,106
1762501583,2025-11-07T07:46:23Z,ANZ24,"-37.005718,174.804596",0,3,109
1762501603,2025-11-07T07:46:43Z,ANZ24,"-37.005867,174.80481",0,3,109
1762501615,2025-11-07T07:46:55Z,ANZ24,"-37.006016,174.805038",0,6,109
1762501623,2025-11-07T07:47:03Z,ANZ24,"-37.006203,174.805252",0,8,115
1762501629,2025-11-07T07:47:09Z,ANZ24,"-37.006405,174.805389",0,9,129
1762501636,2025-11-07T07:47:16Z,ANZ24,"-37.006634,174.805496",0,5,137
1762501647,2025-11-07T07:47:27Z,ANZ24,"-37.006805,174.805283",0,5,199
1762501656,2025-11-07T07:47:36Z,ANZ24,"-37.006817,174.805054",0,4,227
1762501667,2025-11-07T07:47:47Z,ANZ24,"-37.006874,174.80484",0,3,230
1762501697,2025-11-07T07:48:17Z,ANZ24,"-37.006943,174.804611",0,8,230
1762501703,2025-11-07T07:48:23Z,ANZ24,"-37.007111,174.804047",0,24,230
1762501711,2025-11-07T07:48:31Z,ANZ24,"-37.007572,174.802368",0,54,230
1762501717,2025-11-07T07:48:37Z,ANZ24,"-37.008247,174.799896",0,78,230
1762501721,2025-11-07T07:48:41Z,ANZ24,"-37.008682,174.798325",0,94,250
1762501722,2025-11-07T07:48:42Z,ANZ24,"-37.008842,174.797729",0,98,251
1762501724,2025-11-07T07:48:44Z,ANZ24,"-37.009171,174.7966",0,105,250
1762501726,2025-11-07T07:48:46Z,ANZ24,"-37.009506,174.795349",0,114,250
1762501728,2025-11-07T07:48:48Z,ANZ24,"-37.009781,174.794357",0,116,250
1762501730,2025-11-07T07:48:50Z,ANZ24,"-37.010193,174.792999",0,123,251
1762501732,2025-11-07T07:48:52Z,ANZ24,"-37.010559,174.79155",0,129,251
1762501735,2025-11-07T07:48:55Z,ANZ24,"-37.011337,174.788803",0,142,250
1762501737,2025-11-07T07:48:57Z,ANZ24,"-37.011749,174.787338",0,149,250
1762501739,2025-11-07T07:48:59Z,ANZ24,"-37.012253,174.785522",0,155,251
1762501741,2025-11-07T07:49:01Z,ANZ24,"-37.012753,174.783646",0,160,251
1762501743,2025-11-07T07:49:03Z,ANZ24,"-37.013405,174.78125",0,166,251
1762501746,2025-11-07T07:49:06Z,ANZ24,"-37.013901,174.77951",0,174,250
1762501748,2025-11-07T07:49:08Z,ANZ24,"-37.014477,174.777435",0,179,250
1762501750,2025-11-07T07:49:10Z,ANZ24,"-37.015034,174.775406",0,185,251
1762501752,2025-11-07T07:49:12Z,ANZ24,"-37.015549,174.773483",0,187,251
1762501754,2025-11-07T07:49:14Z,ANZ24,"-37.016235,174.770981",0,188,251
1762501756,2025-11-07T07:49:16Z,ANZ24,"-37.016708,174.769012",25,189,252
1762501758,2025-11-07T07:49:18Z,ANZ24,"-37.017334,174.766647",100,189,252
1762501760,2025-11-07T07:49:20Z,ANZ24,"-37.017883,174.764542",150,190,252
1762501763,2025-11-07T07:49:23Z,ANZ24,"-37.018616,174.761795",225,190,251
1762501765,2025-11-07T07:49:25Z,ANZ24,"-37.019165,174.759689",300,191,251
1762501767,2025-11-07T07:49:27Z,ANZ24,"-37.019714,174.757599",350,192,251
1762501773,2025-11-07T07:49:33Z,ANZ24,"-37.021458,174.751099",575,194,251
1762501782,2025-11-07T07:49:42Z,ANZ24,"-37.024017,174.741638",925,194,251
1762501788,2025-11-07T07:49:48Z,ANZ24,"-37.025883,174.734985",1175,194,250
1762501796,2025-11-07T07:49:56Z,ANZ24,"-37.028488,174.726028",1475,196,249
1762501805,2025-11-07T07:50:05Z,ANZ24,"-37.031067,174.71698",1675,203,251
1762501811,2025-11-07T07:50:11Z,ANZ24,"-37.033005,174.709839",1800,209,251
1762501820,2025-11-07T07:50:20Z,ANZ24,"-37.035751,174.699631",2075,212,251
1762501826,2025-11-07T07:50:26Z,ANZ24,"-37.037704,174.692551",2275,214,251
1762501834,2025-11-07T07:50:34Z,ANZ24,"-37.040314,174.682907",2575,214,251
1762501841,2025-11-07T07:50:41Z,ANZ24,"-37.042465,174.67514",2800,215,250
1762501850,2025-11-07T07:50:50Z,ANZ24,"-37.0452,174.664581",3125,216,255
1762501852,2025-11-07T07:50:52Z,ANZ24,"-37.04562,174.662369",3175,216,258
1762501854,2025-11-07T07:50:54Z,ANZ24,"-37.04599,174.659622",3250,218,261
1762501856,2025-11-07T07:50:56Z,ANZ24,"-37.04631,174.656555",3350,217,263
1762501858,2025-11-07T07:50:58Z,ANZ24,"-37.046455,174.653427",3425,217,265
1762501861,2025-11-07T07:51:01Z,ANZ24,"-37.046505,174.650848",3500,218,269
1762501863,2025-11-07T07:51:03Z,ANZ24,"-37.046494,174.648483",3550,218,272
1762501865,2025-11-07T07:51:05Z,ANZ24,"-37.046318,174.645355",3650,217,275
1762501867,2025-11-07T07:51:07Z,ANZ24,"-37.04599,174.642548",3725,219,278
1762501869,2025-11-07T07:51:09Z,ANZ24,"-37.045441,174.639496",3775,219,281
1762501872,2025-11-07T07:51:12Z,ANZ24,"-37.044876,174.637115",3825,222,287
1762501874,2025-11-07T07:51:14Z,ANZ24,"-37.04427,174.634903",3850,223,291
1762501876,2025-11-07T07:51:16Z,ANZ24,"-37.043381,174.632416",3900,225,295
1762501878,2025-11-07T07:51:18Z,ANZ24,"-37.042454,174.630249",3925,227,299
1762501880,2025-11-07T07:51:20Z,ANZ24,"-37.041046,174.627457",3975,229,303
1762501882,2025-11-07T07:51:22Z,ANZ24,"-37.039902,174.625519",4000,232,307
1762501884,2025-11-07T07:51:24Z,ANZ24,"-37.038483,174.623474",4025,233,311
1762501886,2025-11-07T07:51:26Z,ANZ24,"-37.036926,174.621552",4050,236,316
1762501888,2025-11-07T07:51:28Z,ANZ24,"-37.034866,174.619324",4075,238,320
1762501890,2025-11-07T07:51:30Z,ANZ24,"-37.032944,174.61763",4100,240,324
1762501892,2025-11-07T07:51:32Z,ANZ24,"-37.03091,174.616104",4125,243,329
1762501895,2025-11-07T07:51:35Z,ANZ24,"-37.028961,174.614883",4175,245,333
1762501897,2025-11-07T07:51:37Z,ANZ24,"-37.026398,174.613663",4200,248,339
1762501899,2025-11-07T07:51:39Z,ANZ24,"-37.0243,174.612823",4225,250,343
1762501901,2025-11-07T07:51:41Z,ANZ24,"-37.021912,174.612137",4275,252,348
1762501903,2025-11-07T07:51:43Z,ANZ24,"-37.018616,174.611557",4325,255,352
1762501905,2025-11-07T07:51:45Z,ANZ24,"-37.016106,174.611389",4350,257,356
1762501908,2025-11-07T07:51:48Z,ANZ24,"-37.013855,174.611496",4375,260,3
1762501910,2025-11-07T07:51:50Z,ANZ24,"-37.011429,174.611786",4400,262,7
1762501912,2025-11-07T07:51:52Z,ANZ24,"-37.008656,174.612457",4450,264,11
1762501914,2025-11-07T07:51:54Z,ANZ24,"-37.005585,174.61348",4500,266,15
1762501916,2025-11-07T07:51:56Z,ANZ24,"-37.003208,174.614426",4550,267,17
1762501918,2025-11-07T07:51:58Z,ANZ24,"-37.000603,174.61557",4625,269,19
1762501921,2025-11-07T07:52:01Z,ANZ24,"-36.998611,174.61647",4675,270,19
1762501923,2025-11-07T07:52:03Z,ANZ24,"-36.995903,174.617722",4750,271,20
1762501925,2025-11-07T07:52:05Z,ANZ24,"-36.993668,174.618744",4825,272,20
1762501927,2025-11-07T07:52:07Z,ANZ24,"-36.990967,174.620041",4925,272,21
1762501929,2025-11-07T07:52:09Z,ANZ24,"-36.988827,174.621124",5000,272,22
1762501931,2025-11-07T07:52:11Z,ANZ24,"-36.985798,174.622726",5100,273,23
1762501933,2025-11-07T07:52:13Z,ANZ24,"-36.983643,174.624008",5175,274,24
1762501936,2025-11-07T07:52:16Z,ANZ24,"-36.980667,174.625809",5275,274,25
1762501938,2025-11-07T07:52:18Z,ANZ24,"-36.978489,174.627213",5350,275,27
1762501940,2025-11-07T07:52:20Z,ANZ24,"-36.976135,174.628799",5450,274,28
1762501942,2025-11-07T07:52:22Z,ANZ24,"-36.974022,174.630249",5525,274,29
1762501944,2025-11-07T07:52:24Z,ANZ24,"-36.971741,174.631958",5625,276,30
1762501946,2025-11-07T07:52:26Z,ANZ24,"-36.968903,174.634109",5725,275,31
1762501948,2025-11-07T07:52:28Z,ANZ24,"-36.966522,174.635986",5800,276,32
1762501951,2025-11-07T07:52:31Z,ANZ24,"-36.964325,174.63768",5900,277,32
1762501953,2025-11-07T07:52:33Z,ANZ24,"-36.962059,174.639511",5975,277,32
1762501955,2025-11-07T07:52:35Z,ANZ24,"-36.959869,174.641174",6050,277,32
1762501957,2025-11-07T07:52:37Z,ANZ24,"-36.957729,174.642914",6100,278,31
1762501959,2025-11-07T07:52:39Z,ANZ24,"-36.95517,174.644867",6175,278,31
1762501961,2025-11-07T07:52:41Z,ANZ24,"-36.95256,174.646851",6250,278,31
1762501975,2025-11-07T07:52:55Z,ANZ24,"-36.937592,174.658249",6575,287,31
1762501988,2025-11-07T07:53:08Z,ANZ24,"-36.922115,174.670074",6750,300,31
1762502001,2025-11-07T07:53:21Z,ANZ24,"-36.906052,174.682449",6975,311,31
1762502014,2025-11-07T07:53:34Z,ANZ24,"-36.889576,174.694916",7175,322,31
1762502028,2025-11-07T07:53:48Z,ANZ24,"-36.872166,174.708115",7375,334,31
1762502041,2025-11-07T07:54:01Z,ANZ24,"-36.854942,174.72113",7525,344,31
1762502054,2025-11-07T07:54:14Z,ANZ24,"-36.83725,174.734512",7700,353,31
1762502067,2025-11-07T07:54:27Z,ANZ24,"-36.817978,174.749054",7850,365,31
1762502080,2025-11-07T07:54:40Z,ANZ24,"-36.798149,174.764084",7975,375,31
1762502093,2025-11-07T07:54:53Z,ANZ24,"-36.77869,174.778809",8250,380,31
1762502107,2025-11-07T07:55:07Z,ANZ24,"-36.757965,174.794479",8650,382,31
1762502121,2025-11-07T07:55:21Z,ANZ24,"-36.737442,174.809952",9050,383,31
1762502134,2025-11-07T07:55:34Z,ANZ24,"-36.716904,174.825439",9475,386,31
1762502148,2025-11-07T07:55:48Z,ANZ24,"-36.696075,174.841125",9875,387,31
1762502160,2025-11-07T07:56:00Z,ANZ24,"-36.676552,174.85582",10250,388,31
1762502174,2025-11-07T07:56:14Z,ANZ24,"-36.656296,174.870987",10600,391,31
1762502187,2025-11-07T07:56:27Z,ANZ24,"-36.63475,174.887268",11000,393,31
1762502201,2025-11-07T07:56:41Z,ANZ24,"-36.613678,174.903137",11375,394,31
1762502214,2025-11-07T07:56:54Z,ANZ24,"-36.5923,174.919113",11775,397,31
1762502228,2025-11-07T07:57:08Z,ANZ24,"-36.570972,174.935181",12100,401,31
1762502258,2025-11-07T07:57:38Z,ANZ24,"-36.522491,174.971695",12850,407,31
1762502290,2025-11-07T07:58:10Z,ANZ24,"-36.471676,175.00975",13650,411,31
1762502321,2025-11-07T07:58:41Z,ANZ24,"-36.42112,175.047623",14400,415,31
1762502353,2025-11-07T07:59:13Z,ANZ24,"-36.367813,175.087219",15175,420,31
1762502384,2025-11-07T07:59:44Z,ANZ24,"-36.315216,175.126572",15950,423,31
1762502416,2025-11-07T08:00:16Z,ANZ24,"-36.261307,175.166656",16625,427,30
1762502448,2025-11-07T08:00:48Z,ANZ24,"-36.206909,175.207092",17200,435,31
1762502480,2025-11-07T08:01:20Z,ANZ24,"-36.151062,175.248703",17850,440,31
1762502510,2025-11-07T08:01:50Z,ANZ24,"-36.097538,175.288208",18475,444,30
1762502542,2025-11-07T08:02:22Z,ANZ24,"-36.041748,175.329437",19100,447,30
1762502574,2025-11-07T08:02:54Z,ANZ24,"-35.984646,175.371658",19625,453,31
1762502605,2025-11-07T08:03:25Z,ANZ24,"-35.928551,175.413086",20200,457,30
1762502636,2025-11-07T08:03:56Z,ANZ24,"-35.872421,175.454346",20725,462,30
1762502668,2025-11-07T08:04:28Z,ANZ24,"-35.812824,175.498123",21225,467,30
1762502700,2025-11-07T08:05:00Z,ANZ24,"-35.752632,175.542175",21700,472,30
1762502733,2025-11-07T08:05:33Z,ANZ24,"-35.690437,175.587769",22225,475,30
1762502765,2025-11-07T08:06:05Z,ANZ24,"-35.629944,175.631958",22750,477,30
1762502795,2025-11-07T08:06:35Z,ANZ24,"-35.572357,175.673965",23175,479,30
1762502826,2025-11-07T08:07:06Z,ANZ24,"-35.511841,175.718018",23700,482,30
1762502857,2025-11-07T08:07:37Z,ANZ24,"-35.454391,175.759674",24200,481,30
1762502888,2025-11-07T08:08:08Z,ANZ24,"-35.394363,175.803162",24650,481,30
1762502920,2025-11-07T08:08:40Z,ANZ24,"-35.334595,175.846542",25500,472,30
1762502951,2025-11-07T08:09:11Z,ANZ24,"-35.275589,175.889282",26400,462,30
1762502984,2025-11-07T08:09:44Z,ANZ24,"-35.215347,175.932755",26825,466,30
1762503014,2025-11-07T08:10:14Z,ANZ24,"-35.158298,175.973846",27300,466,30
1762503046,2025-11-07T08:10:46Z,ANZ24,"-35.098293,176.016998",27700,469,30
1762503079,2025-11-07T08:11:19Z,ANZ24,"-35.03754,176.060608",28100,471,30
1762503110,2025-11-07T08:11:50Z,ANZ24,"-34.979553,176.102158",28425,474,30
1762503141,2025-11-07T08:12:21Z,ANZ24,"-34.919579,176.14505",28725,479,30
1762503174,2025-11-07T08:12:54Z,ANZ24,"-34.856598,176.190155",29175,479,30
1762503205,2025-11-07T08:13:25Z,ANZ24,"-34.796494,176.233032",29550,481,30
1762503236,2025-11-07T08:13:56Z,ANZ24,"-34.73703,176.275299",29900,484,30
1762503268,2025-11-07T08:14:28Z,ANZ24,"-34.675781,176.318848",30250,487,30
1762503300,2025-11-07T08:15:00Z,ANZ24,"-34.613964,176.36261",30625,488,30
1762503330,2025-11-07T08:15:30Z,ANZ24,"-34.554424,176.404724",30950,491,30
1762503363,2025-11-07T08:16:03Z,ANZ24,"-34.489197,176.450912",31150,497,30
1762503395,2025-11-07T08:16:35Z,ANZ24,"-34.425842,176.495697",31425,500,30
1762503427,2025-11-07T08:17:07Z,ANZ24,"-34.360474,176.541779",31750,501,30
1762503458,2025-11-07T08:17:38Z,ANZ24,"-34.300434,176.584106",32425,494,30
1762503489,2025-11-07T08:18:09Z,ANZ24,"-34.238297,176.627701",32975,492,30
1762503522,2025-11-07T08:18:42Z,ANZ24,"-34.17421,176.672607",33475,490,30
1762503553,2025-11-07T08:19:13Z,ANZ24,"-34.112595,176.715607",34000,487,30
1762503587,2025-11-07T08:19:47Z,ANZ24,"-34.047283,176.764648",34475,486,33
1762503631,2025-11-07T08:20:31Z,ANZ24,"-33.966888,176.832275",34950,486,35
1762503664,2025-11-07T08:21:04Z,ANZ24,"-33.905998,176.883316",34975,487,34
1762503694,2025-11-07T08:21:34Z,ANZ24,"-33.849342,176.930817",34975,488,34
1762503732,2025-11-07T08:22:12Z,ANZ24,"-33.780304,176.9888",35000,487,35
1762503763,2025-11-07T08:22:43Z,ANZ24,"-33.722115,177.037582",34975,488,34
1762503795,2025-11-07T08:23:15Z,ANZ24,"-33.66243,177.087387",34975,491,34
1762503828,2025-11-07T08:23:48Z,ANZ24,"-33.601776,177.138123",35000,493,34
1762503859,2025-11-07T08:24:19Z,ANZ24,"-33.543045,177.187164",34975,494,35
1762503891,2025-11-07T08:24:51Z,ANZ24,"-33.48349,177.236832",34975,495,34
1762503923,2025-11-07T08:25:23Z,ANZ24,"-33.423668,177.286484",34975,494,34
1762503955,2025-11-07T08:25:55Z,ANZ24,"-33.363522,177.336319",34975,494,34
1762503987,2025-11-07T08:26:27Z,ANZ24,"-33.302032,177.387238",34975,495,34
1762504020,2025-11-07T08:27:00Z,ANZ24,"-33.241196,177.4375",35000,497,34
1762504052,2025-11-07T08:27:32Z,ANZ24,"-33.180386,177.48761",34975,497,34
1762504084,2025-11-07T08:28:04Z,ANZ24,"-33.119202,177.537964",34975,497,34
1762504116,2025-11-07T08:28:36Z,ANZ24,"-33.059399,177.587158",35000,499,34
1762504148,2025-11-07T08:29:08Z,ANZ24,"-32.997993,177.637665",35000,502,34
1762504183,2025-11-07T08:29:43Z,ANZ24,"-32.930649,177.692703",34975,503,34
1762504216,2025-11-07T08:30:16Z,ANZ24,"-32.867371,177.744385",34975,504,34
1762505721,2025-11-07T08:55:21Z,ANZ24,"-29.993706,-179.997253",34992,496,34
1762507824,2025-11-07T09:30:24Z,ANZ24,"-25.84259,-177.484467",35000,485,28
1762508675,2025-11-07T09:44:35Z,ANZ24,"-24.161087,-176.478424",35000,493,29
1762508707,2025-11-07T09:45:07Z,ANZ24,"-24.09651,-176.438568",34975,491,29
1762508738,2025-11-07T09:45:38Z,ANZ24,"-24.036804,-176.401825",35000,491,29
1762508769,2025-11-07T09:46:09Z,ANZ24,"-23.974262,-176.363373",35000,492,29
1762508801,2025-11-07T09:46:41Z,ANZ24,"-23.909788,-176.323822",35000,492,29
1762508834,2025-11-07T09:47:14Z,ANZ24,"-23.846895,-176.285172",35000,493,29
1762508865,2025-11-07T09:47:45Z,ANZ24,"-23.784897,-176.247208",35000,493,29
1762508896,2025-11-07T09:48:16Z,ANZ24,"-23.721451,-176.208344",35000,494,29
1762508928,2025-11-07T09:48:48Z,ANZ24,"-23.657429,-176.169144",34975,493,29
1762508947,2025-11-07T09:49:07Z,ANZ24,"-23.619116,-176.145721",35000,493,29
1762509013,2025-11-07T09:50:13Z,ANZ24,"-23.490463,-176.067245",34975,495,29
1762509045,2025-11-07T09:50:45Z,ANZ24,"-23.424225,-176.026901",35000,497,29
1762509076,2025-11-07T09:51:16Z,ANZ24,"-23.3601,-175.987854",34975,497,29
1762509109,2025-11-07T09:51:49Z,ANZ24,"-23.294815,-175.948196",35000,496,29
1762509140,2025-11-07T09:52:20Z,ANZ24,"-23.232359,-175.910233",34975,497,29
1762509172,2025-11-07T09:52:52Z,ANZ24,"-23.167141,-175.870667",34975,498,29
1762509204,2025-11-07T09:53:24Z,ANZ24,"-23.103783,-175.832321",34975,498,29
1762509237,2025-11-07T09:53:57Z,ANZ24,"-23.036636,-175.791687",34975,498,29
1762509270,2025-11-07T09:54:30Z,ANZ24,"-22.971313,-175.752182",35000,498,29
1762509301,2025-11-07T09:55:01Z,ANZ24,"-22.907135,-175.71344",35000,499,29
1762509332,2025-11-07T09:55:32Z,ANZ24,"-22.846256,-175.676773",34975,499,29
1762509364,2025-11-07T09:56:04Z,ANZ24,"-22.781296,-175.637634",34975,500,29
1762509395,2025-11-07T09:56:35Z,ANZ24,"-22.719681,-175.600525",35000,500,29
1762509426,2025-11-07T09:57:06Z,ANZ24,"-22.654678,-175.561417",35000,502,29
1762509458,2025-11-07T09:57:38Z,ANZ24,"-22.590591,-175.522964",34975,503,29
1762509490,2025-11-07T09:58:10Z,ANZ24,"-22.524626,-175.483398",35000,504,29
1762509523,2025-11-07T09:58:43Z,ANZ24,"-22.457016,-175.442871",35000,503,29
1762509554,2025-11-07T09:59:14Z,ANZ24,"-22.393162,-175.404617",34975,503,29
1762509587,2025-11-07T09:59:47Z,ANZ24,"-22.326174,-175.364578",35000,503,29
1762509620,2025-11-07T10:00:20Z,ANZ24,"-22.257603,-175.323685",35000,503,29
1762509652,2025-11-07T10:00:52Z,ANZ24,"-22.194077,-175.285767",35000,504,29
1762509682,2025-11-07T10:01:22Z,ANZ24,"-22.131725,-175.248611",34975,504,29
1762509714,2025-11-07T10:01:54Z,ANZ24,"-22.06753,-175.210373",35000,504,29
1762509745,2025-11-07T10:02:25Z,ANZ24,"-22.003288,-175.172165",34975,504,29
1762509778,2025-11-07T10:02:58Z,ANZ24,"-21.93631,-175.132355",35000,505,29
1762509809,2025-11-07T10:03:29Z,ANZ24,"-21.872011,-175.094254",35000,506,29
1762509841,2025-11-07T10:04:01Z,ANZ24,"-21.805573,-175.054855",35000,507,28
1762509873,2025-11-07T10:04:33Z,ANZ24,"-21.740826,-175.016525",34975,506,28
1762509904,2025-11-07T10:05:04Z,ANZ24,"-21.676352,-174.978333",35000,506,28
1762509935,2025-11-07T10:05:35Z,ANZ24,"-21.613132,-174.940994",35000,505,28
1762509967,2025-11-07T10:06:07Z,ANZ24,"-21.547821,-174.90239",35000,507,28
1762509999,2025-11-07T10:06:39Z,ANZ24,"-21.481903,-174.863586",34975,507,28
1762510030,2025-11-07T10:07:10Z,ANZ24,"-21.418213,-174.826096",34975,507,28
1762510061,2025-11-07T10:07:41Z,ANZ24,"-21.354172,-174.788391",35000,504,28
1762510094,2025-11-07T10:08:14Z,ANZ24,"-21.287109,-174.748932",34975,502,28
1762510125,2025-11-07T10:08:45Z,ANZ24,"-21.22242,-174.710999",35000,501,28
1762510158,2025-11-07T10:09:18Z,ANZ24,"-21.156784,-174.672485",34975,499,28
