Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762534110,2025-11-07T16:48:30Z,ANZ582,"-43.488728,172.537933",0,0,129
1762534194,2025-11-07T16:49:54Z,ANZ582,"-43.488556,172.537659",0,3,129
1762534208,2025-11-07T16:50:08Z,ANZ582,"-43.488426,172.537445",0,3,129
1762534219,2025-11-07T16:50:19Z,ANZ582,"-43.488297,172.537231",0,4,129
1762534231,2025-11-07T16:50:31Z,ANZ582,"-43.488159,172.537003",0,4,129
1762534246,2025-11-07T16:50:46Z,ANZ582,"-43.488018,172.536789",0,2,129
1762534502,2025-11-07T16:55:02Z,ANZ582,"-43.488205,172.536575",0,4,213
1762534513,2025-11-07T16:55:13Z,ANZ582,"-43.488293,172.536346",0,4,236
1762534524,2025-11-07T16:55:24Z,ANZ582,"-43.488396,172.536133",0,4,236
1762534535,2025-11-07T16:55:35Z,ANZ582,"-43.488529,172.535919",0,5,227
1762534542,2025-11-07T16:55:42Z,ANZ582,"-43.488728,172.53569",0,8,219
1762534549,2025-11-07T16:55:49Z,ANZ582,"-43.488956,172.535477",0,9,213
1762534556,2025-11-07T16:55:56Z,ANZ582,"-43.489216,172.535248",0,9,213
1762534562,2025-11-07T16:56:02Z,ANZ582,"-43.489414,172.535034",0,10,216
1762534571,2025-11-07T16:56:11Z,ANZ582,"-43.489742,172.534653",0,11,219
1762534579,2025-11-07T16:56:19Z,ANZ582,"-43.490124,172.534241",0,12,219
1762534584,2025-11-07T16:56:24Z,ANZ582,"-43.490299,172.534027",0,13,219
1762534591,2025-11-07T16:56:31Z,ANZ582,"-43.49073,172.533539",0,16,219
1762534599,2025-11-07T16:56:39Z,ANZ582,"-43.491219,172.532974",0,17,219
1762534605,2025-11-07T16:56:45Z,ANZ582,"-43.491638,172.532486",0,18,219
1762534614,2025-11-07T16:56:54Z,ANZ582,"-43.492184,172.53183",0,18,219
1762534618,2025-11-07T16:56:58Z,ANZ582,"-43.492512,172.531464",0,18,219
1762534622,2025-11-07T16:57:02Z,ANZ582,"-43.492756,172.531189",0,18,219
1762534626,2025-11-07T16:57:06Z,ANZ582,"-43.493008,172.530914",0,18,219
1762534629,2025-11-07T16:57:09Z,ANZ582,"-43.493225,172.530655",0,18,219
1762534636,2025-11-07T16:57:16Z,ANZ582,"-43.493664,172.530151",0,18,219
1762534643,2025-11-07T16:57:23Z,ANZ582,"-43.494118,172.529617",0,18,219
1762534656,2025-11-07T16:57:36Z,ANZ582,"-43.494747,172.5289",0,12,219
1762534662,2025-11-07T16:57:42Z,ANZ582,"-43.494965,172.528641",0,9,222
1762534667,2025-11-07T16:57:47Z,ANZ582,"-43.495068,172.528397",0,9,236
1762534671,2025-11-07T16:57:51Z,ANZ582,"-43.495102,172.528168",0,9,255
1762534675,2025-11-07T16:57:55Z,ANZ582,"-43.495102,172.527924",0,9,267
1762534679,2025-11-07T16:57:59Z,ANZ582,"-43.495094,172.527649",0,10,272
1762534683,2025-11-07T16:58:03Z,ANZ582,"-43.495083,172.527405",0,10,275
1762534687,2025-11-07T16:58:07Z,ANZ582,"-43.49506,172.527161",0,11,275
1762534690,2025-11-07T16:58:10Z,ANZ582,"-43.495049,172.526886",0,11,275
1762534694,2025-11-07T16:58:14Z,ANZ582,"-43.495033,172.526611",0,12,275
1762534703,2025-11-07T16:58:23Z,ANZ582,"-43.494942,172.52594",0,12,286
1762534708,2025-11-07T16:58:28Z,ANZ582,"-43.494827,172.525696",0,10,303
1762534717,2025-11-07T16:58:37Z,ANZ582,"-43.494587,172.525589",0,6,345
1762534726,2025-11-07T16:58:46Z,ANZ582,"-43.494408,172.525833",0,7,39
1762534731,2025-11-07T16:58:51Z,ANZ582,"-43.494198,172.526077",0,12,39
1762534734,2025-11-07T16:58:54Z,ANZ582,"-43.493965,172.526337",0,21,42
1762534736,2025-11-07T16:58:56Z,ANZ582,"-43.493778,172.526566",0,30,39
1762534737,2025-11-07T16:58:57Z,ANZ582,"-43.493568,172.526794",0,35,39
1762534740,2025-11-07T16:59:00Z,ANZ582,"-43.493088,172.527344",0,49,39
1762534741,2025-11-07T16:59:01Z,ANZ582,"-43.492893,172.527588",0,54,39
1762534742,2025-11-07T16:59:02Z,ANZ582,"-43.49255,172.527969",0,59,39
1762534745,2025-11-07T16:59:05Z,ANZ582,"-43.491974,172.528641",0,68,39
1762534746,2025-11-07T16:59:06Z,ANZ582,"-43.491627,172.529053",0,76,39
1762534747,2025-11-07T16:59:07Z,ANZ582,"-43.491383,172.529327",0,76,39
1762534748,2025-11-07T16:59:08Z,ANZ582,"-43.491055,172.529709",0,86,39
1762534751,2025-11-07T16:59:11Z,ANZ582,"-43.490067,172.530823",175,95,39
1762534754,2025-11-07T16:59:14Z,ANZ582,"-43.48851,172.532623",150,95,39
1762534763,2025-11-07T16:59:23Z,ANZ582,"-43.485703,172.535904",125,144,40
1762534770,2025-11-07T16:59:30Z,ANZ582,"-43.480545,172.541946",300,155,40
1762534779,2025-11-07T16:59:39Z,ANZ582,"-43.475967,172.547302",675,150,41
1762534788,2025-11-07T16:59:48Z,ANZ582,"-43.47139,172.552994",1050,150,42
1762534792,2025-11-07T16:59:52Z,ANZ582,"-43.469467,172.555161",1175,150,39
1762534794,2025-11-07T16:59:54Z,ANZ582,"-43.468094,172.556641",1275,151,36
1762534796,2025-11-07T16:59:56Z,ANZ582,"-43.466904,172.557724",1325,153,34
1762534798,2025-11-07T16:59:58Z,ANZ582,"-43.465714,172.558685",1375,155,32
1762534800,2025-11-07T17:00:00Z,ANZ582,"-43.464157,172.559952",1425,157,30
1762534803,2025-11-07T17:00:03Z,ANZ582,"-43.462425,172.561279",1500,159,29
1762534805,2025-11-07T17:00:05Z,ANZ582,"-43.460938,172.562317",1525,163,27
1762534807,2025-11-07T17:00:07Z,ANZ582,"-43.459671,172.563156",1575,166,27
1762534809,2025-11-07T17:00:09Z,ANZ582,"-43.457912,172.564285",1625,169,25
1762534812,2025-11-07T17:00:12Z,ANZ582,"-43.456421,172.565201",1650,172,24
1762534814,2025-11-07T17:00:14Z,ANZ582,"-43.454697,172.566238",1700,176,23
1762534816,2025-11-07T17:00:16Z,ANZ582,"-43.453171,172.567047",1725,179,22
1762534818,2025-11-07T17:00:18Z,ANZ582,"-43.451252,172.568146",1775,182,22
1762534820,2025-11-07T17:00:20Z,ANZ582,"-43.449692,172.56897",1825,185,21
1762534822,2025-11-07T17:00:22Z,ANZ582,"-43.447994,172.569839",1875,188,21
1762534825,2025-11-07T17:00:25Z,ANZ582,"-43.4459,172.570953",1925,191,20
1762534827,2025-11-07T17:00:27Z,ANZ582,"-43.444317,172.571808",1975,195,20
1762534829,2025-11-07T17:00:29Z,ANZ582,"-43.442093,172.572922",2050,198,20
1762534831,2025-11-07T17:00:31Z,ANZ582,"-43.440731,172.573639",2075,201,20
1762534833,2025-11-07T17:00:33Z,ANZ582,"-43.438477,172.574768",2150,202,20
1762534835,2025-11-07T17:00:35Z,ANZ582,"-43.436874,172.575607",2175,207,20
1762534837,2025-11-07T17:00:37Z,ANZ582,"-43.434586,172.576813",2225,211,20
1762534844,2025-11-07T17:00:44Z,ANZ582,"-43.428818,172.57988",2325,224,21
1762534852,2025-11-07T17:00:52Z,ANZ582,"-43.420341,172.584686",2600,238,22
1762534861,2025-11-07T17:01:01Z,ANZ582,"-43.410938,172.590179",2925,249,23
