Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762489175,2025-11-07T04:19:35Z,QLK42D,"-33.933743,151.177505",0,0,222
1762489891,2025-11-07T04:31:31Z,QLK42D,"-33.933578,151.177261",0,5,312
1762489902,2025-11-07T04:31:42Z,QLK42D,"-33.933517,151.176804",0,10,270
1762489911,2025-11-07T04:31:51Z,QLK42D,"-33.933556,151.176285",0,12,261
1762489913,2025-11-07T04:31:53Z,QLK42D,"-33.933598,151.176056",0,0,258
1762489917,2025-11-07T04:31:57Z,QLK42D,"-33.933647,151.175827",0,14,258
1762489920,2025-11-07T04:32:00Z,QLK42D,"-33.933708,151.175537",0,14,253
1762489926,2025-11-07T04:32:06Z,QLK42D,"-33.933929,151.175201",0,14,219
1762489930,2025-11-07T04:32:10Z,QLK42D,"-33.934208,151.175064",0,16,196
1762489936,2025-11-07T04:32:16Z,QLK42D,"-33.934578,151.175003",0,18,182
1762489938,2025-11-07T04:32:18Z,QLK42D,"-33.934868,151.175049",0,19,171
1762489941,2025-11-07T04:32:21Z,QLK42D,"-33.935188,151.17511",0,20,168
1762489943,2025-11-07T04:32:23Z,QLK42D,"-33.935417,151.175186",0,20,168
1762489947,2025-11-07T04:32:27Z,QLK42D,"-33.93565,151.175232",0,20,168
1762489950,2025-11-07T04:32:30Z,QLK42D,"-33.936012,151.175385",0,19,154
1762489955,2025-11-07T04:32:35Z,QLK42D,"-33.936333,151.175735",0,17,126
1762489959,2025-11-07T04:32:39Z,QLK42D,"-33.936466,151.176041",0,17,115
1762489962,2025-11-07T04:32:42Z,QLK42D,"-33.936581,151.1763",0,17,120
1762489966,2025-11-07T04:32:46Z,QLK42D,"-33.936779,151.176559",0,17,135
1762489969,2025-11-07T04:32:49Z,QLK42D,"-33.937019,151.176743",0,18,151
1762489972,2025-11-07T04:32:52Z,QLK42D,"-33.937302,151.176834",0,18,165
1762489975,2025-11-07T04:32:55Z,QLK42D,"-33.937572,151.176895",0,18,168
1762489978,2025-11-07T04:32:58Z,QLK42D,"-33.937786,151.176941",0,18,168
1762489982,2025-11-07T04:33:02Z,QLK42D,"-33.938118,151.177063",0,18,160
1762489985,2025-11-07T04:33:05Z,QLK42D,"-33.938362,151.177246",0,18,143
1762489989,2025-11-07T04:33:09Z,QLK42D,"-33.93856,151.17746",0,17,137
1762489992,2025-11-07T04:33:12Z,QLK42D,"-33.938759,151.177673",0,17,143
1762489995,2025-11-07T04:33:15Z,QLK42D,"-33.939022,151.177795",0,17,160
1762489999,2025-11-07T04:33:19Z,QLK42D,"-33.939293,151.177872",0,18,168
1762490002,2025-11-07T04:33:22Z,QLK42D,"-33.939606,151.177963",0,19,168
1762490006,2025-11-07T04:33:26Z,QLK42D,"-33.939877,151.178024",0,19,168
1762490007,2025-11-07T04:33:27Z,QLK42D,"-33.940083,151.17807",0,20,168
1762490009,2025-11-07T04:33:29Z,QLK42D,"-33.940292,151.178131",0,20,168
1762490013,2025-11-07T04:33:33Z,QLK42D,"-33.940636,151.178207",0,21,168
1762490015,2025-11-07T04:33:35Z,QLK42D,"-33.940853,151.178268",0,22,165
1762490019,2025-11-07T04:33:39Z,QLK42D,"-33.941288,151.178391",0,24,168
